,24hr,7d,link,logo,marketcap,name,price,symbol,time
2806, 5.00%, 14.69%,/currencies/dad,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/4862.png""/>",21945124,DAD,0.163037,DAD,20201031005959page4
2807, 0.59%, 10.20%,/currencies/the-sandbox,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/6210.png""/>",21784830,The Sandbox,0.035896,SAND,20201031005959page4
2808, 2.50%, 14.50%,/currencies/wom-protocol,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/5328.png""/>",21554824,WOM Protocol,0.215102,WOM,20201031005959page4
2809, 5.17%, 9.44%,/currencies/darcio-ecosystem-coin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3376.png""/>",21451031,Darico Ecosystem Coin,0.340458,DEC,20201031005959page4
2810, 2.59%, 10.79%,/currencies/loki,,21336880,Loki,0.417278,LOKI,20201031005959page4
2811, 2.07%, 13.49%,/currencies/adx-net,,21273829,AdEx Network,0.208515,ADX,20201031005959page4
2812, 1.64%, 6.16%,/currencies/zynecoin,,21234003,Zynecoin,0.959127,ZYN,20201031005959page4
2813, 3.21%, 11.00%,/currencies/funfair,,20675719,FunFair,0.003157,FUN,20201031005959page4
2814, 0.24%, 31.13%,/currencies/conun,,20506718,CONUN,0.00708,CON,20201031005959page4
2815, 3.58%, 5.07%,/currencies/hashgard,,20841806,Hashgard,0.00021,GARD,20201031005959page4
2816, 5.98%, 11.41%,/currencies/everipedia,,20229298,Everipedia,0.002123,IQ,20201031005959page4
2817, 1.91%, 4.54%,/currencies/prizm,,20351925,PRIZM,0.008974,PZM,20201031005959page4
2818, 17.10%, 19.85%,/currencies/kcash,,20228233,Kcash,0.045406,KCASH,20201031005959page4
2819, 2.50%, 8.82%,/currencies/bigone-token,,20258167,BigONE Token,0.002144,ONE,20201031005959page4
2820, 2.47%, 15.60%,/currencies/nuls,,20212229,NULS,0.203284,NULS,20201031005959page4
2821, 3.06%, 0.20%,/currencies/yflink,,19959517,YF Link,398.28,YFL,20201031005959page4
2822, 3.26%, 7.42%,/currencies/nash-exchange,,19961543,Nash Exchange,0.851508,NEX,20201031005959page4
2823, 13.59%, 19.98%,/currencies/akropolis,,19733278,Akropolis ,0.009887,AKRO,20201031005959page4
2824, 2.39%, 10.40%,/currencies/crpt,,19584008,Crypterium,0.220143,CRPT,20201031005959page4
2825, 2.33%, 9.54%,/currencies/veruscoin,,19511143,VerusCoin,0.335015,VRSC,20201031005959page4
2826, 4.48%, 0.00%,/currencies/certik,,19474355,CertiK,0.881193,CTK,20201031005959page4
2827, 2.10%, 9.14%,/currencies/huobi-pool-token,,19347129,Huobi Pool Token,0.003713,HPT,20201031005959page4
2828, 1.32%, 12.16%,/currencies/cortex,,19375986,Cortex,0.077523,CTXC,20201031005959page4
2829, 3.00%, 19.11%,/currencies/fnb-protocol,,19240932,FNB Protocol,0.008105,FNB,20201031005959page4
2830, 3.51%, 12.25%,/currencies/the-transfer-token,,23563801,The Transfer Token,0.891832,TTT,20201031005959page4
2831, 38.83%, 42.16%,/currencies/btu-protocol,,19167004,BTU Protocol,0.212933,BTU,20201031005959page4
2832, 5.51%, 12.98%,/currencies/wazirx,,18970842,WazirX,0.081135,WRX,20201031005959page4
2833, 0.35%, 15.25%,/currencies/bloomzed-token,,18963594,Bloomzed Loyalty Club Ticket,0.499042,BLCT,20201031005959page4
2834, 8.13%, 13.35%,/currencies/request,,18594840,Request,0.018595,REQ,20201031005959page4
2835, 2.97%, 16.08%,/currencies/origin-protocol,,18518414,Origin Protocol,0.142011,OGN,20201031005959page4
2836, 0.18%, 0.81%,/currencies/elitium,,18496699,Elitium,1.11,EUM,20201031005959page4
2837, 3.73%, 12.42%,/currencies/orion-protocol,,18422291,Orion Protocol,1.48,ORN,20201031005959page4
2838, 4.22%, 13.20%,/currencies/ripio-credit-network,,18415719,Ripio Credit Network,0.036223,RCN,20201031005959page4
2839, 5.43%, 11.16%,/currencies/bora,,18319317,BORA,0.023411,BORA,20201031005959page4
2840, 4.55%, 13.33%,/currencies/metal,,18355027,Metal,0.27985,MTL,20201031005959page4
2841, 9.40%, 9.06%,/currencies/obyte,,18273710,Obyte,24.25,GBYTE,20201031005959page4
2842, 7.38%, 14.23%,/currencies/noia-network,,18149435,NOIA Network,0.056471,NOIA,20201031005959page4
2843, 4.54%, 6.34%,/currencies/cindicator,,18115303,Cindicator,0.009058,CND,20201031005959page4
2844, 6.15%, 12.56%,/currencies/mainframe,,17927697,Mainframe,0.001793,MFT,20201031005959page4
2845, 1.68%, 22.05%,/currencies/waltonchain,,17891301,Waltonchain,0.256851,WTC,20201031005959page4
2846, 2.87%, 18.50%,/currencies/chainx,,17828241,ChainX,2.42,PCX,20201031005959page4
2847, 30.35%, 6.51%,/currencies/deviantcoin,,17409867,DeviantCoin,0.576391,DEV,20201031005959page4
2848, 5.78%, 10.42%,/currencies/airswap,,17619016,AirSwap,0.11746,AST,20201031005959page4
2849, 1.20%, 34.06%,/currencies/pancakeswap,,17566376,PancakeSwap,0.408661,CAKE,20201031005959page4
2850, 0.08%, 8.78%,/currencies/quantstamp,,17545806,Quantstamp,0.024581,QSP,20201031005959page4
2851, 0.57%, 6.59%,/currencies/beam,,17447762,Beam,0.236675,BEAM,20201031005959page4
2852, 5.27%, 22.61%,/currencies/secret,,17310872,Secret,0.306953,SCRT,20201031005959page4
2853, 2.19%, 15.20%,/currencies/xensor,,17123445,Xensor,0.003692,XSR,20201031005959page4
2854, 4.14%, 18.72%,/currencies/pivx,,17132920,PIVX,0.301736,PIVX,20201031005959page4
2855, 0.81%, 0.44%,/currencies/vidt-datalink,,17120252,VIDT Datalink,0.346365,VIDT,20201031005959page4
2856, 0.96%, 15.29%,/currencies/civic,,17110869,Civic,0.025539,CVC,20201031005959page4
2857, 18.25%, 14.50%,/currencies/buggyra-coin-zero,,17054601,Buggyra Coin Zero,0.008482,BCZERO,20201031005959page4
2858, 0.54%, 0.17%,/currencies/cryptobucks,,16996896,CRYPTOBUCKS,0.004323,CBUCKS,20201031005959page4
2859, 2.82%, 16.19%,/currencies/beowulf,,16992403,Beowulf,0.016992,BWF,20201031005959page4
2860, 0.30%, 0.93%,/currencies/gemini-dollar,,16923178,Gemini Dollar,1.01,GUSD,20201031005959page4
2861, 4.88%, 18.55%,/currencies/erc20,,16870633,ERC20,0.014975,ERC20,20201031005959page4
2862, 1.20%, 52.39%,/currencies/justliquidity,,16758759,JustLiquidity,39.64,JUL,20201031005959page4
2863, 9.80%, 12.05%,/currencies/ergo,,17183789,Ergo,0.746815,ERG,20201031005959page4
2864, 3.50%, 22.53%,/currencies/trustswap,,16853537,TrustSwap,0.182943,SWAP,20201031005959page4
2865, 14.93%, 3.78%,/currencies/global-digital-content,,16815372,Global Digital Content,0.00524,GDC,20201031005959page4
2866, 1.54%, 8.12%,/currencies/newscrypto,,16373514,Newscrypto,0.171931,NWC,20201031005959page4
2867, 2.77%, 17.81%,/currencies/loom-network,,16523015,Loom Network,0.017025,LOOM,20201031005959page4
2868, 2.70%, 9.68%,/currencies/dent,,16404093,Dent,0.000193,DENT,20201031005959page4
2869, 0.88%, 10.53%,/currencies/vethor-token,,16388215,VeThor Token,0.000563,VTHO,20201031005959page4
2870, 13.14%, 2.70%,/currencies/bzx-protocol,,16359850,bZx Protocol,0.116349,BZRX,20201031005959page4
2871, 1.30%, 0.16%,/currencies/ignis,,16352135,Ignis,0.021484,IGNIS,20201031005959page4
2872, 4.54%, 9.70%,/currencies/coti,,16274299,COTI,0.02865,COTI,20201031005959page4
2873, 0.63%, 1.74%,/currencies/salus,,16206752,SaluS,16.01,SLS,20201031005959page4
2874, 9.77%, 30.34%,/currencies/trust-wallet-token,,16129320,Trust Wallet Token,0.064279,TWT,20201031005959page4
2875, 2.31%, 48.45%,/currencies/suku,,8332734,SUKU,0.104873,SUKU,20201031005959page4
2876, 5.97%, 33.30%,/currencies/phala-network,,15805180,Phala.Network,0.115366,PHA,20201031005959page4
2877, 0.73%, 2.24%,/currencies/unobtanium,,15827420,Unobtanium,77.99,UNO,20201031005959page4
2878, 2.94%, 22.53%,/currencies/bluzelle,,15772016,Bluzelle,0.063669,BLZ,20201031005959page4
2879, 4.12%, 7.45%,/currencies/perpetual-protocol,,15657314,Perpetual Protocol,1.06,PERP,20201031005959page4
2880, 2.04%, 12.32%,/currencies/nimiq,,15658457,Nimiq,0.0023,NIM,20201031005959page4
2881, 14.16%, 1.46%,/currencies/invictus-hyperion-fund,,15588620,Invictus Hyperion Fund,0.132092,IHF,20201031005959page4
2882, 3.88%, 7.51%,/currencies/molecular-future,,15484618,Molecular Future,0.181146,MOF,20201031005959page4
2883, 1.59%, 15.32%,/currencies/nebulas-token,,15460627,Nebulas,0.270193,NAS,20201031005959page4
2884, 5.55%, 29.38%,/currencies/parsiq,,15386943,PARSIQ,0.138404,PRQ,20201031005959page4
2885, 0.12%, 1.33%,/currencies/apollo-currency,,15322204,Apollo Currency,0.001043,APL,20201031005959page4
2886, 1.29%, 0.94%,/currencies/davinci-coin,,15372130,Davinci Coin,0.003344,DAC,20201031005959page4
2887, 0.64%, 33.17%,/currencies/amp,,15345670,Amp,0.003633,AMP,20201031005959page4
2888, 6.88%, 2.25%,/currencies/bdcc-bitica-coin,,15858837,BDCC Bitica COIN,4.38,BDCC,20201031005959page4
2889, 0.46%, 0.49%,/currencies/celo-dollar,,15295249,Celo Dollar,0.9951,CUSD,20201031005959page4
2890, 3.60%, 20.26%,/currencies/basic,,15296308,BASIC,0.005698,BASIC,20201031005959page4
2891, 0.09%, 8.17%,/currencies/synchrobitcoin,,15167113,SynchroBitcoin,0.18776,SNB,20201031005959page4
2892, 3.84%, 11.11%,/currencies/12ships,,15179915,12Ships,0.003088,TSHP,20201031005959page4
2893, 0.05%, 9.31%,/currencies/truechain,,14778662,TrueChain,0.185719,TRUE,20201031005959page4
2894, 1.11%, 7.33%,/currencies/sport-and-leisure,,14801443,Sport and Leisure,0.02189,SNL,20201031005959page4
2895, 0.01%, 4.13%,/currencies/b2bx,,14731915,B2BX,0.750488,B2B,20201031005959page4
2896, 1.55%, 7.95%,/currencies/level01,,14925423,Level01,0.093307,LVX,20201031005959page4
2897, 18.02%, 29.13%,/currencies/gleec,,14722410,Gleec,1.15,GLEEC,20201031005959page4
2898, 4.51%, 20.28%,/currencies/bitcoinhd,,14641259,BitcoinHD,2.41,BHD,20201031005959page4
2899, 1.16%, 12.74%,/currencies/stormx,,14485023,StormX,0.001924,STMX,20201031005959page4
2900, 3.53%, 10.51%,/currencies/grin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3709.png""/>",14326672,Grin,0.254471,GRIN,20201031010014page5
2901, 13.23%, 10.65%,/currencies/repo,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2829.png""/>",14306379,REPO,0.130107,REPO,20201031010014page5
2902, 1.72%, 4.81%,/currencies/pirate-chain,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3951.png""/>",14229962,Pirate Chain,0.083049,ARRR,20201031010014page5
2903, 3.73%, 27.42%,/currencies/dragonchain,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2243.png""/>",14095262,Dragonchain,0.039095,DRGN,20201031010014page5
2904, 4.72%, 9.82%,/currencies/envion,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2526.png""/>",14154535,Envion,0.111081,EVN,20201031010014page5
2905, 3.21%, 11.65%,/currencies/function-x,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3884.png""/>",14039728,Function X,0.061151,FX,20201031010014page5
2906, 0.88%, 2.94%,/currencies/bit-z-token,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2918.png""/>",14101535,Bit-Z Token,0.11277,BZ,20201031010014page5
2907, 0.89%, 22.43%,/currencies/wixlar,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3404.png""/>",13997920,Wixlar,0.005851,WIX,20201031010014page5
2908, 8.11%, 18.36%,/currencies/prometeus,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/4120.png""/>",13976195,Prometeus,2.28,PROM,20201031010014page5
2909, 4.18%, 0.35%,/currencies/ecoreal-estate,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3344.png""/>",13804328,Ecoreal Estate,0.066075,ECOREAL,20201031010014page5
2910, 5.62%, 11.46%,/currencies/lto-network,,13834625,LTO Network,0.056877,LTO,20201031010014page5
2911, 0.85%, 10.25%,/currencies/bitkan,,13771812,BitKan,0.002139,KAN,20201031010014page5
2912, 19.20%, 4.49%,/currencies/agoras-tokens,,13787748,Agoras Tokens,0.461718,AGRS,20201031010014page5
2913, 4.51%, 20.45%,/currencies/celer-network,,13710927,Celer Network,0.003451,CELR,20201031010014page5
2914, 3.01%, 1.48%,/currencies/constellation,,13708003,Constellation,0.01082,DAG,20201031010014page5
2915, 1.63%, 5.52%,/currencies/zbg-token,,13697863,ZBG Token,0.051883,ZT,20201031010014page5
2916, 9.82%, 9.11%,/currencies/rchain,,13640496,RChain,0.028248,REV,20201031010014page5
2917, 7.33%, 23.95%,/currencies/sora,,13704841,Sora,39.16,XOR,20201031010014page5
2918, 13.03%, 49.77%,/currencies/sentivate,,13564141,Sentivate,0.004351,SNTVT,20201031010014page5
2919, 6.21%, 17.78%,/currencies/standard-tokenization-protocol,,13470639,Standard Tokenization Protocol,0.014701,STPT,20201031010014page5
2920, 6.58%, 34.52%,/currencies/audius,,13317722,Audius,0.110981,AUDIO,20201031010014page5
2921, 10.09%, 21.55%,/currencies/vertcoin,,13132457,Vertcoin,0.22965,VTC,20201031010014page5
2922, 26.95%, 12.41%,/currencies/stakenet,,13280469,Stakenet,0.123026,XSN,20201031010014page5
2923, 13.21%, 4.87%,/currencies/milk-alliance,,13249655,MiL.k,0.147053,MLK,20201031010014page5
2924, 10.45%, 17.84%,/currencies/dusk-network,,13042667,Dusk Network,0.047632,DUSK,20201031010014page5
2925, 4.26%, 54.41%,/currencies/crypto-village-accelerator,,13024864,Crypto Village Accelerator,0.257513,CVA,20201031010014page5
2926, 0.71%, 1.53%,/currencies/qash,,12976809,QASH,0.037077,QASH,20201031010014page5
2927, 1.23%, 8.63%,/currencies/groestlcoin,,12910872,Groestlcoin,0.169419,GRS,20201031010014page5
2928, 3.73%, 15.03%,/currencies/project-pai,,12777306,Project Pai,0.00862,PAI,20201031010014page5
2929, 0.56%, 3.82%,/currencies/folgory-coin,,12805065,Folgory Coin,0.730654,FLG,20201031010014page5
2930, 6405.35%, 30.22%,/currencies/peepcoin,,12798416,PeepCoin,0.00009,PCN,20201031010014page5
2931, 13.03%, 17.42%,/currencies/levolution,,12818349,Levolution,0.232985,LEVL,20201031010014page5
2932, 6.06%, 25.61%,/currencies/drep,,12685992,DREP,0.003182,DREP,20201031010014page5
2933, 1.49%, 11.01%,/currencies/contentos,,12490770,Contentos,0.005876,COS,20201031010014page5
2934, 29.21%, 20.26%,/currencies/content-value-network,,12519794,Content Value Network,0.013535,CVNT,20201031010014page5
2935, 6.94%, 35.34%,/currencies/nexxo,,12571466,Nexxo,0.058566,NEXXO,20201031010014page5
2936, 4.91%, 18.72%,/currencies/gas,,12439692,Gas,1.23,GAS,20201031010014page5
2937, 8.99%, 14.67%,/currencies/yfvalue,,12317298,YFValue,2.74,YFV,20201031010014page5
2938, 4.10%, 15.70%,/currencies/medibloc,,12303060,MediBloc,0.004594,MED,20201031010014page5
2939, 2.85%, 7.12%,/currencies/platincoin,,12214634,PLATINCOIN,2.44,PLC,20201031010014page5
2940, 2.11%, 17.65%,/currencies/metaverse,,12088778,Metaverse ETP,0.152614,ETP,20201031010014page5
2941, 0.85%, 0.28%,/currencies/bhp-coin,,12091301,BHPCoin,0.599244,BHP,20201031010014page5
2942, 2.65%, 19.47%,/currencies/lambda,,12096870,Lambda,0.014403,LAMB,20201031010014page5
2943, 3.58%, 1.70%,/currencies/nexus,,12053913,Nexus,0.186385,NXS,20201031010014page5
2944, 6.71%, 20.16%,/currencies/arpa-chain,,12005961,ARPA Chain,0.013886,ARPA,20201031010014page5
2945, 1.18%, 7.23%,/currencies/king-dag,,11878740,King DAG,0.242416,KDAG,20201031010014page5
2946, 0.06%, 11.92%,/currencies/venus,,11916087,Venus,2.82,XVS,20201031010014page5
2947, 2.31%, 20.24%,/currencies/yfdai-finance,,11827943,YFDAI.FINANCE,764.18,YF-DAI,20201031010014page5
2948, 12.08%, 19.49%,/currencies/casinocoin,,11810682,CasinoCoin,0.000295,CSC,20201031010014page5
2949, 3.08%, 11.09%,/currencies/amo-coin,,11700225,AMO Coin,0.000646,AMO,20201031010014page5
2950, 5.70%, 7.09%,/currencies/latoken,,11662540,LATOKEN,0.030682,LA,20201031010014page5
2951, 3.51%, 11.63%,/currencies/bella-protocol,,11600401,Bella Protocol,0.800028,BEL,20201031010014page5
2952, 1.56%, 13.06%,/currencies/fusion,,11601134,Fusion,0.245195,FSN,20201031010014page5
2953, 5.88%, 2.86%,/currencies/jewel,,11565519,Jewel,0.211396,JWL,20201031010014page5
2954, 0.22%, 46.56%,/currencies/aurora,,11581827,Aurora,0.00177,AOA,20201031010014page5
2955, 0.19%, 0.23%,/currencies/yep-coin,,11539138,YEP COIN,2.83,YEP,20201031010014page5
2956, 8.85%, 4.82%,/currencies/zenon,,11424147,Zenon,2.44,ZNN,20201031010014page5
2957, 5.28%, 23.94%,/currencies/elamachain,,11480029,Elamachain,0.015724,ELAMA,20201031010014page5
2958, 22.29%, 13.67%,/currencies/tixl,,11423696,Tixl,239.1,MTXLT,20201031010014page5
2959, 2.42%, 11.61%,/currencies/moviebloc,,11383198,MovieBloc,0.001371,MBL,20201031010014page5
2960, 0.11%, 0.08%,/currencies/usdj,,11301666,USDJ,0.991792,USDJ,20201031010014page5
2961, 17.83%, 40.58%,/currencies/proton,,11207980,Proton,0.006012,XPR,20201031010014page5
2962, 2.34%, 4.41%,/currencies/aergo,,11080115,Aergo,0.041967,AERGO,20201031010014page5
2963, 6.58%, 19.70%,/currencies/enigma,,10960874,Enigma,0.447369,ENG,20201031010014page5
2964, 8.18%, 10.81%,/currencies/dinastycoin,,10962486,Dinastycoin,0.005526,DCY,20201031010014page5
2965, 6.74%, 2.62%,/currencies/populous,,10873680,Populous,0.204192,PPT,20201031010014page5
2966, 0.44%, 6.40%,/currencies/digixdao,,10798015,DigixDAO,73.92,DGD,20201031010014page5
2967, 3.92%, 20.29%,/currencies/zap,,10612382,Zap,0.04494,ZAP,20201031010014page5
2968, 0.68%, 0.50%,/currencies/cocos-bcx,,10553734,Cocos-BCX,0.000268,COCOS,20201031010014page5
2969, 13.17%, 111.95%,/currencies/yieldfarming-insure,,10479392,yieldfarming.insure,224.01,SAFE,20201031010014page5
2970, 10.20%, 16.51%,/currencies/mvl,,11422866,MVL,0.001135,MVL,20201031010014page5
2971, 1.37%, 2.30%,/currencies/moeda-loyalty-points,,10418165,Moeda Loyalty Points,0.530757,MDA,20201031010014page5
2972, 0.29%, 1.30%,/currencies/coinmetro-token,,10375066,CoinMetro Token,0.037096,XCM,20201031010014page5
2973, 4.76%, 26.26%,/currencies/tachyon-protocol,,10366841,Tachyon Protocol,0.038848,IPX,20201031010014page5
2974, 7.14%, 29.07%,/currencies/injective-protocol,,10407682,Injective Protocol,0.773329,INJ,20201031010014page5
2975, 0.63%, 0.90%,/currencies/insights-network,,10326403,Insights Network,0.052484,INSTAR,20201031010014page5
2976, 12.08%, 6.88%,/currencies/nkn,,10314860,NKN,0.017673,NKN,20201031010014page5
2977, 29.45%, 158.61%,/currencies/uca-coin,,9566553,UCA Coin,0.006174,UCA,20201031010014page5
2978, 9.28%, 3.56%,/currencies/morpheus-network,,10321819,Morpheus.Network,0.218783,MRPH,20201031010014page5
2979, 0.98%, 0.15%,/currencies/anchor,,10298229,Anchor,0.803662,ANCT,20201031010014page5
2980, 4.50%, 6.06%,/currencies/darwinia-network,,10322407,Darwinia Network,0.033323,RING,20201031010014page5
2981, 10.55%, 4.53%,/currencies/karatgold-coin,,10216421,Karatgold Coin,0.002161,KBC,20201031010014page5
2982, 3.45%, 23.60%,/currencies/chromia,,10074939,Chromia,0.022715,CHR,20201031010014page5
2983, 4.08%, 2.22%,/currencies/metadium,,10166687,Metadium,0.008163,META,20201031010014page5
2984, 4.57%, 2.23%,/currencies/dimension-chain,,10091638,Dimension Chain,0.041227,EON,20201031010014page5
2985, 4.75%, 5.92%,/currencies/linkeye,,9824286,LinkEye,0.011837,LET,20201031010014page5
2986, 4.09%, 10.05%,/currencies/einsteinium,,9728561,Einsteinium,0.044074,EMC2,20201031010014page5
2987, 0.22%, 11.99%,/currencies/trustverse,,9772441,TrustVerse,0.023228,TRV,20201031010014page5
2988, 2.94%, 2.60%,/currencies/biki,,9658710,BIKI,0.030672,BIKI,20201031010014page5
2989, 3.54%, 4.71%,/currencies/quickx-protocol,,9642508,QuickX Protocol,0.019349,QCX,20201031010014page5
2990, 4.50%, 5.69%,/currencies/quantum-resistant-ledger,,9597259,Quantum Resistant Ledger,0.132442,QRL,20201031010014page5
2991, 1.43%, 0.70%,/currencies/nxt,,9591461,Nxt,0.009601,NXT,20201031010014page5
2992, 0.20%, 8.38%,/currencies/rakon,,9589311,Rakon,0.077548,RKN,20201031010014page5
2993, 20.71%, 3.57%,/currencies/kadena,,9676653,Kadena,0.203733,KDA,20201031010014page5
2994, 4.99%, 4.14%,/currencies/quark,,9555430,Quark,0.035787,QRK,20201031010014page5
2995, 1.65%, 5.46%,/currencies/pnetwork,,9451008,pNetwork,0.401046,PNT,20201031010014page5
2996, 1.00%, 10.79%,/currencies/iqeon,,9446053,IQeon,1.72,IQN,20201031010014page5
2997, 2.22%, 11.24%,/currencies/vidy,,9385995,VIDY,0.00107,VIDY,20201031010014page5
2998, 22.10%, 43.56%,/currencies/seele,,9348604,Seele-N,0.013363,SEELE,20201031010014page5
2999, 7.00%, 2.67%,/currencies/dforce,,9337823,dForce,0.09665,DF,20201031010014page5
3000, 0.63%, 4.14%,/currencies/bitcoin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1.png""/>",2.50241E+11,Bitcoin,13504.49,BTC,20201031010015page1
3001, 0.49%, 6.87%,/currencies/ethereum,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png""/>",43432766020,Ethereum,383.59,ETH,20201031010015page1
3002, 0.01%, 0.01%,/currencies/tether,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/825.png""/>",16543306783,Tether,1,USDT,20201031010015page1
3003, 0.51%, 6.04%,/currencies/xrp,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/52.png""/>",10831453845,XRP,0.239186,XRP,20201031010015page1
3004, 1.70%, 3.04%,/currencies/bitcoin-cash,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png""/>",4847858520,Bitcoin Cash,261.21,BCH,20201031010015page1
3005, 0.53%, 9.00%,/currencies/chainlink,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png""/>",4315100497,Chainlink,11.05,LINK,20201031010015page1
3006, 1.16%, 6.74%,/currencies/binance-coin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png""/>",4131269330,Binance Coin,28.61,BNB,20201031010015page1
3007, 0.07%, 2.04%,/currencies/litecoin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2.png""/>",3566863894,Litecoin,54.23,LTC,20201031010015page1
3008, 3.44%, 4.09%,/currencies/polkadot-new,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png""/>",3530793858,Polkadot,4.14,DOT,20201031010015page1
3009, 1.81%, 2.78%,/currencies/bitcoin-sv,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png""/>",3019988675,Bitcoin SV,162.74,BSV,20201031010015page1
3010, 0.97%, 14.19%,/currencies/cardano,,2900641575,Cardano,0.093231,ADA,20201031010015page1
3011, 0.00%, 0.02%,/currencies/usd-coin,,2879347447,USD Coin,1,USDC,20201031010015page1
3012, 3.93%, 5.12%,/currencies/eos,,2345603844,EOS,2.5,EOS,20201031010015page1
3013, 1.66%, 2.32%,/currencies/monero,,2178958824,Monero,122.8,XMR,20201031010015page1
3014, 2.71%, 4.09%,/currencies/tron,,1828775997,TRON,0.02552,TRX,20201031010015page1
3015, 5.48%, 17.14%,/currencies/crypto-com-coin,,1757817957,Crypto.com Coin,0.0836,CRO,20201031010015page1
3016, 0.98%, 7.84%,/currencies/stellar,,1614847843,Stellar,0.077354,XLM,20201031010015page1
3017, 0.04%, 3.45%,/currencies/wrapped-bitcoin,,1570102357,Wrapped Bitcoin,13398.7,WBTC,20201031010015page1
3018, 2.75%, 13.09%,/currencies/tezos,,1438255691,Tezos,1.92,XTZ,20201031010015page1
3019, 0.03%, 1.67%,/currencies/unus-sed-leo,,1269510483,UNUS SED LEO,1.27,LEO,20201031010015page1
3020, 0.96%, 18.95%,/currencies/neo,,1039287417,Neo,14.73,NEO,20201031010015page1
3021, 6.64%, 11.19%,/currencies/cosmos,,971591772,Cosmos,4.74,ATOM,20201031010015page1
3022, 0.19%, 0.37%,/currencies/multi-collateral-dai,,936917539,Dai,1.01,DAI,20201031010015page1
3023, 0.84%, 11.39%,/currencies/nem,,860652342,NEM,0.095628,XEM,20201031010015page1
3024, 4.24%, 11.05%,/currencies/huobi-token,,828865733,Huobi Token,4,HT,20201031010015page1
3025, 2.16%, 25.54%,/currencies/filecoin,,725793746,Filecoin,29.14,FIL,20201031010015page1
3026, 3.01%, 7.30%,/currencies/iota,,717863549,IOTA,0.258268,MIOTA,20201031010015page1
3027, 0.00%, 0.02%,/currencies/binance-usd,,710282892,Binance USD,0.9999,BUSD,20201031010015page1
3028, 4.48%, 4.45%,/currencies/dash,,677058638,Dash,69.16,DASH,20201031010015page1
3029, 0.93%, 16.30%,/currencies/vechain,,655550849,VeChain,0.010193,VET,20201031010015page1
3030, 1.00%, 4.13%,/currencies/ethereum-classic,,610367360,Ethereum Classic,5.25,ETC,20201031010015page1
3031, 2.89%, 5.77%,/currencies/theta,,601665507,THETA,0.601666,THETA,20201031010015page1
3032, 2.66%, 7.44%,/currencies/zcash,,600688214,Zcash,57.93,ZEC,20201031010015page1
3033, 0.35%, 10.90%,/currencies/maker,,526082023,Maker,524.43,MKR,20201031010015page1
3034, 1.63%, 22.10%,/currencies/uniswap,,501626891,Uniswap,2.37,UNI,20201031010015page1
3035, 3.16%, 16.57%,/currencies/omg,,406014987,OMG Network,2.9,OMG,20201031010015page1
3036, 2.54%, 14.91%,/currencies/uma,,378624809,UMA,6.84,UMA,20201031010015page1
3037, 1.14%, 10.79%,/currencies/compound,,376852259,Compound,92.92,COMP,20201031010015page1
3038, 1.51%, 4.17%,/currencies/ftx-token,,351792660,FTX Token,3.73,FTT,20201031010015page1
3039, 2.42%, 17.17%,/currencies/ontology,,348389103,Ontology,0.449075,ONT,20201031010015page1
3040, 10.64%, 25.73%,/currencies/aave,,345890411,Aave,30.84,AAVE,20201031010015page1
3041, 7.81%, 4.28%,/currencies/waves,,334222760,Waves,3.23,WAVES,20201031010015page1
